,Problem,,,Constructive algorithm,,Local Search,,GRASP,
Name,V,E,Simple Randomized,Simple Greedy,Semi Greedy,,Simple local,,GRASP
,,,,,,No. of iterations,Best value,No. of iterations,Best value
G1,800,19176,9536,11233,11052,3,11365,1000,11502
G2,800,19176,9622,11254,11207,2,11429,1000,11512
G3,800,19176,9543,11228,11216,2,11385,1000,11511
G4,800,19176,9598,11226,11041,3,11363,1000,11526
G5,800,19176,9580,11254,11155,3,11364,1000,11525
G6,800,19176,104,1658,1749,3,1968,1000,2044
G7,800,19176,-64,1640,1400,4,1753,1000,1865
G8,800,19176,-184,1532,1539,2,1722,1000,1886
G9,800,19176,-215,1753,1663,2,1829,1000,1947
G10,800,19176,-40,1593,1577,2,1787,1000,1863
G11,800,1600,-46,466,440,1,470,1000,510
G12,800,1600,-4,454,480,1,490,1000,508
G13,800,1600,42,474,486,1,498,1000,530
G14,800,4694,2329,2932,2948,1,2984,1000,2997
G15,800,4661,2306,2909,2897,1,2942,1000,2977
G16,800,4672,2388,2914,2931,1,2962,1000,2985
G17,800,4667,2243,2910,2900,1,2937,1000,2979
G18,800,4694,9,805,772,2,854,1000,920
G19,800,4661,-31,771,719,1,780,1000,843
G20,800,4672,-19,756,622,2,782,1000,881
G21,800,4667,17,753,749,1,817,1000,859
G22,2000,19990,10068,12795,12600,4,12909,1000,13037
G23,2000,19990,10022,12783,12413,5,12847,1000,13039
G24,2000,19990,9872,12727,12291,6,12772,1000,13032
G25,2000,19990,9940,12838,12442,4,12837,1000,13080
G26,2000,19990,10081,12814,12791,2,12964,1000,13042
G27,2000,19990,-22,2645,2440,5,2818,1000,3027
G28,2000,19990,-68,2644,2697,3,2870,1000,2973
G29,2000,19990,-2,2725,2719,3,2928,1000,3022
G32,2000,4000,38,1188,1076,1,1134,500,1256
G33,2000,4000,-26,1192,1002,1,1098,500,1232
G34,2000,4000,-94,1150,1138,1,1166,500,1241
G35,2000,11778,5832,7372,7362,2,7441,500,7492
G36,2000,11766,5822,7326,7353,2,7435,500,7488
G37,2000,11785,5865,7369,7360,2,7462,500,7479
G38,2000,11779,5826,7380,7397,2,7475,500,7482
G39,2000,11778,-49,1983,1728,4,1972,500,2168
G40,2000,11766,-128,2050,1846,3,2082,500,2148
G41,2000,11785,-16,1987,1700,4,1995,500,2198
G42,2000,11779,137,2152,1872,3,2121,500,2245
G43,1000,9990,4995,6343,6297,2,6419,500,6547
G44,1000,9990,4937,6316,6212,3,6384,500,6564
G45,1000,9990,4924,6415,6167,3,6370,500,6527
G46,1000,9990,5029,6385,6201,3,6415,500,6545
G47,1000,9990,5007,6410,6288,2,6452,500,6497
G48,3000,6000,3048,5992,5868,1,5876,500,6000
G49,3000,6000,3038,5992,5876,1,5882,500,6002
G50,3000,6000,2944,5872,5778,1,5790,500,5888
G51,1000,5909,2926,3678,3712,1,3750,500,3792
G52,1000,5916,2935,3719,3703,1,3741,500,3787
G53,1000,5914,2939,3696,3627,1,3681,500,3779
G54,1000,5916,2956,3686,3669,1,3726,500,3778
